stamp_sec,stamp_nanosec,scan_index,point_index,angle_rad,range_m,x_forward_m,y_left_m,x_world_m,y_world_m
1774805556,43035842,0,40,0.6981316953897476,1.190250039100647,-0.9117844325127266,0.7650779726318991,-0.7111228978970393,0.6878552831648207
1774805556,43035842,0,43,0.7504915725439787,1.1162500381469727,-0.8163736017570973,0.761280690689881,-0.6158834876509547,0.6809922873463404
1774805556,43035842,0,45,0.7853981573134661,1.0762499570846558,-0.7610236475363452,0.7610236382762365,-0.5605704152153806,0.6789557397972633
1774805556,43035842,0,48,0.8377580344676971,1.0405000448226929,-0.6962304309266457,0.7732422197007371,-0.49541784247894305,0.6890847533959215
1774805556,43035842,0,50,0.8726646192371845,1.0089999437332153,-0.6485726672311771,0.7729387956198528,-0.44779447451797333,0.6872491797308069
1774805556,43035842,0,53,0.9250244963914156,0.9779999852180481,-0.5885750893434892,0.7810655128033793,-0.3875666238934448,0.6934426354479071
1774805556,43035842,0,55,0.959931081160903,0.9552500247955322,-0.5479089108650858,0.7824950065441316,-0.3468755090849987,0.6935638791614346
1774805556,43035842,0,58,1.012290958315134,0.9337499737739563,-0.49481210528953884,0.7918648836650091,-0.2935048924998349,0.7012217277435895
1774805556,43035842,0,60,1.0471975430846214,0.9129999876022339,-0.45650000021510395,0.7906811792152949,-0.2552506543136034,0.6988068132006132
1774805556,43035842,0,63,1.0995574202388525,0.8955000042915344,-0.40654850126122205,0.7978963427716612,-0.20509299715321638,0.7044121910706467
1774805556,43035842,0,65,1.1344640050083399,0.8985000252723694,-0.37972252601078516,0.8143175662199833,-0.17775291141844274,0.7199624077794905
1774805556,43035842,0,68,1.186823882162571,0.8922500014305115,-0.33424274111688385,0.8272797924906781,-0.13187987510464144,0.731455652893073
1774805556,43035842,0,71,1.239183759316802,0.5647500157356262,-0.1838646254784795,0.533981628683093,0.00899028325933527,0.43347412823362974
1774805556,43035842,0,73,1.2740903440862894,0.547249972820282,-0.16000041262805637,0.5233377501295421,0.03249993274659517,0.42206846356123023
1774805556,43035842,0,76,1.3264502212405205,0.5404999852180481,-0.13075878638430233,0.5244448243657426,0.061762035500393636,0.4222347800366736
1774805556,43035842,0,79,1.3788100983947515,0.5337499976158142,-0.10184430642342616,0.5239435057370335,0.09064544759076637,0.4208040537200393
1774805556,43035842,0,81,1.413716683164239,0.5950000286102295,-0.09307851761028649,0.5876745898927787,0.10145580492275519,0.48422034749015763
1774805556,43035842,0,83,1.4486232679337263,0.6512500047683716,-0.07936741772729326,0.646395685098613,0.11704783386554585,0.5424702394696391
1774805556,43035842,0,85,1.4835298527032137,0.6194999814033508,-0.053992988103551486,0.6171425963214675,0.14146859050574417,0.5124164289482761
1774805556,43035842,0,88,1.5358897298574448,0.5205000042915344,-0.018165194372334503,0.5201829295362379,0.17416038482383214,0.4143549463416318
1774805556,43035842,0,91,1.5882496070116758,0.5202500224113464,0.009079608440382145,0.5201707859247535,0.20139071111960313,0.4134668260812196
1774805556,43035842,0,93,1.6231561917811632,0.5447499752044678,0.028510004025584398,0.5440034146544757,0.22157733452826694,0.4366624010929111
1774805556,43035842,0,95,1.6580627765506506,0.5217499732971191,0.04547349977544475,0.5197645577121599,0.23775272496384706,0.4118906607789542
