stamp_sec,stamp_nanosec,ax_mps2,ay_mps2,az_mps2,gx_rps,gy_rps,gz_rps,qx,qy,qz,qw
1,776000000,-0.011100912,-0.015691623,9.787238714,0.000183354,-0.003011486,0.002298026,0.000000001,0.000000000,0.000000000,1.000000000
1,784000000,-0.028880972,-0.010417284,9.780472141,-0.000134536,0.004359130,-0.001675034,0.000000001,0.000000000,0.000000000,1.000000000
1,792000000,-0.007120096,0.002081627,9.773961803,0.001824311,-0.001405414,0.002711217,0.000000001,0.000000000,0.000000000,1.000000000
1,800000000,-0.012109255,-0.038175136,9.786891663,0.002480703,0.001892111,-0.002048914,0.000000001,0.000000000,0.000000000,1.000000000
1,808000000,-0.006414626,0.007257640,9.810298055,0.002278885,0.001214905,0.000410677,0.000000001,0.000000000,0.000000000,1.000000000
1,816000000,-0.046501416,-0.011283345,9.793584972,-0.001935481,-0.001637141,-0.000172326,0.000000001,0.000000000,0.000000000,1.000000000
1,824000000,0.001482457,-0.024040162,9.780398728,-0.000659754,0.000955418,-0.000361574,0.000000001,0.000000000,0.000000000,1.000000000
1,832000000,-0.002581475,0.004827273,9.799305342,-0.004650376,-0.000676853,-0.001122801,0.000000001,0.000000000,0.000000000,1.000000000
1,840000000,0.054713103,-0.005801366,9.802084803,0.001019557,0.001876456,0.000990667,0.000000001,0.000000000,0.000000000,1.000000000
1,848000000,-0.028867059,-0.012234076,9.805872028,-0.000057740,0.004049394,0.004160948,0.000000001,0.000000000,0.000000000,1.000000000
1,856000000,-0.017334008,0.021521411,9.769967468,0.003410958,-0.001782270,0.003670539,0.000000001,0.000000000,0.000000000,1.000000000
1,864000000,-0.016319424,0.016034711,9.779765491,-0.001059739,0.001104830,-0.000056138,0.000000001,0.000000000,0.000000000,1.000000000
1,872000000,-0.003171147,0.002934391,9.850735842,0.002098818,-0.000636859,0.002810807,0.000000001,0.000000000,0.000000000,1.000000000
1,880000000,0.014073719,0.032394376,9.806781203,-0.000630547,-0.000424191,-0.000684346,0.000000001,0.000000000,0.000000000,1.000000000
1,888000000,0.029794950,-0.038388229,9.777877891,-0.000162343,-0.003200288,-0.001474289,0.000000001,0.000000000,0.000000000,1.000000000
1,896000000,-0.014482287,0.020949022,9.785665041,0.001053256,0.002438581,-0.000680645,0.000000001,0.000000000,0.000000000,1.000000000
1,904000000,0.004634900,-0.022036009,9.795504704,0.002208822,-0.000492859,-0.003704007,0.000000001,0.000000000,0.000000000,1.000000000
1,912000000,0.007317533,-0.012747607,9.794884060,-0.000093515,-0.000565147,-0.003410201,0.000000001,0.000000000,0.000000000,1.000000000
1,920000000,0.016603176,0.007268921,9.761874088,0.001816153,0.000677951,0.004465503,0.000000001,0.000000000,0.000000000,1.000000000
